promo_id,transaction_id,product_id,store_id,date,discount_pct,promo_type
PRM0000032,TXN00000139,P001,S001,2023-05-19,0.29,Seasonal
PRM0000033,TXN00000140,P001,S001,2023-05-20,0.12,Clearance
PRM0000034,TXN00000144,P001,S001,2023-05-24,0.22,Seasonal
PRM0000035,TXN00000146,P001,S001,2023-05-26,0.12,Festival
PRM0000036,TXN00000148,P001,S001,2023-05-28,0.1,Flash Sale
PRM0000037,TXN00000156,P001,S001,2023-06-05,0.15,Festival
PRM0000038,TXN00000160,P001,S001,2023-06-09,0.33,Clearance
PRM0000039,TXN00000161,P001,S001,2023-06-10,0.23,Festival
PRM0000040,TXN00000163,P001,S001,2023-06-12,0.39,Festival
PRM0000041,TXN00000170,P001,S001,2023-06-19,0.07,Clearance
PRM0000042,TXN00000172,P001,S001,2023-06-21,0.35,Festival
PRM0000043,TXN00000173,P001,S001,2023-06-22,0.31,Seasonal
PRM0000044,TXN00000186,P001,S001,2023-07-05,0.12,Clearance
PRM0000045,TXN00000198,P001,S001,2023-07-17,0.25,Festival
PRM0000046,TXN00000199,P001,S001,2023-07-18,0.09,Seasonal
PRM0000047,TXN00000200,P001,S001,2023-07-19,0.37,Flash Sale
PRM0000048,TXN00000211,P001,S001,2023-07-30,0.15,Seasonal
PRM0000049,TXN00000213,P001,S001,2023-08-01,0.06,Festival
PRM0000050,TXN00000216,P001,S001,2023-08-04,0.17,Flash Sale
PRM0000051,TXN00000218,P001,S001,2023-08-06,0.1,Clearance
PRM0000052,TXN00000227,P001,S001,2023-08-15,0.36,Clearance
PRM0000053,TXN00000232,P001,S001,2023-08-20,0.35,Festival
PRM0000054,TXN00000236,P001,S001,2023-08-24,0.37,Clearance
PRM0000055,TXN00000237,P001,S001,2023-08-25,0.37,Clearance
PRM0000056,TXN00000247,P001,S001,2023-09-04,0.22,Seasonal
PRM0000057,TXN00000248,P001,S001,2023-09-05,0.22,Festival
PRM0000058,TXN00000252,P001,S001,2023-09-09,0.39,Seasonal
PRM0000059,TXN00000261,P001,S001,2023-09-18,0.26,Clearance
PRM0000060,TXN00000267,P001,S001,2023-09-24,0.11,Festival
PRM0000061,TXN00000272,P001,S001,2023-09-29,0.17,Seasonal
PRM0000062,TXN00000274,P001,S001,2023-10-01,0.09,Seasonal
PRM0000063,TXN00000280,P001,S001,2023-10-07,0.39,Flash Sale
PRM0000064,TXN00000284,P001,S001,2023-10-11,0.36,Flash Sale
PRM0000065,TXN00000291,P001,S001,2023-10-18,0.35,Festival
PRM0000066,TXN00000295,P001,S001,2023-10-22,0.11,Seasonal
PRM0000067,TXN00000297,P001,S001,2023-10-24,0.36,Festival
PRM0000068,TXN00000300,P001,S001,2023-10-27,0.16,Seasonal
PRM0000069,TXN00000302,P001,S001,2023-10-29,0.32,Seasonal
PRM0000070,TXN00000306,P001,S001,2023-11-02,0.08,Festival
PRM0000071,TXN00000308,P001,S001,2023-11-04,0.16,Flash Sale
PRM0000072,TXN00000323,P001,S001,2023-11-19,0.28,Seasonal
PRM0000073,TXN00000325,P001,S001,2023-11-21,0.19,Clearance
PRM0000074,TXN00000328,P001,S001,2023-11-24,0.25,Festival
PRM0000075,TXN00000331,P001,S001,2023-11-27,0.17,Festival
PRM0000076,TXN00000333,P001,S001,2023-11-29,0.28,Flash Sale
PRM0000077,TXN00000345,P001,S001,2023-12-11,0.14,Clearance
PRM0000078,TXN00000349,P001,S001,2023-12-15,0.19,Flash Sale
PRM0000079,TXN00000356,P001,S001,2023-12-22,0.19,Festival
PRM0000080,TXN00000361,P001,S001,2023-12-27,0.21,Festival
PRM0000081,TXN00000362,P001,S001,2023-12-28,0.06,Clearance
PRM0000082,TXN00000367,P001,S001,2024-01-02,0.08,Seasonal
PRM0000083,TXN00000369,P001,S001,2024-01-04,0.38,Flash Sale
PRM0000084,TXN00000378,P001,S001,2024-01-13,0.26,Clearance
PRM0000085,TXN00000384,P001,S001,2024-01-19,0.16,Flash Sale
PRM0000086,TXN00000387,P001,S001,2024-01-22,0.26,Clearance
PRM0000087,TXN00000394,P001,S001,2024-01-29,0.38,Festival
PRM0000088,TXN00000395,P001,S001,2024-01-30,0.27,Seasonal
PRM0000089,TXN00000398,P001,S001,2024-02-02,0.11,Festival
PRM0000090,TXN00000400,P001,S001,2024-02-04,0.37,Festival
PRM0000091,TXN00000411,P001,S001,2024-02-15,0.27,Festival
PRM0000092,TXN00000413,P001,S001,2024-02-17,0.15,Clearance
PRM0000093,TXN00000416,P001,S001,2024-02-20,0.08,Flash Sale
PRM0000094,TXN00000424,P001,S001,2024-02-28,0.39,Flash Sale
PRM0000095,TXN00000430,P001,S001,2024-03-05,0.31,Seasonal
PRM0000096,TXN00000435,P001,S001,2024-03-10,0.33,Seasonal
PRM0000097,TXN00000445,P001,S001,2024-03-20,0.18,Clearance
PRM0000098,TXN00000449,P001,S001,2024-03-24,0.12,Flash Sale
PRM0000099,TXN00000451,P001,S001,2024-03-26,0.09,Seasonal
PRM0000100,TXN00000460,P001,S001,2024-04-04,0.27,Festival
PRM0000101,TXN00000474,P001,S001,2024-04-18,0.38,Festival
PRM0000102,TXN00000482,P001,S001,2024-04-26,0.22,Seasonal
PRM0000103,TXN00000487,P001,S001,2024-05-01,0.12,Seasonal
PRM0000104,TXN00000493,P001,S001,2024-05-07,0.29,Festival
PRM0000105,TXN00000503,P001,S001,2024-05-17,0.32,Flash Sale
PRM0000106,TXN00000505,P001,S001,2024-05-19,0.18,Festival
PRM0000107,TXN00000513,P001,S001,2024-05-27,0.17,Seasonal
PRM0000108,TXN00000515,P001,S001,2024-05-29,0.31,Seasonal
PRM0000109,TXN00000525,P001,S001,2024-06-08,0.3,Festival
PRM0000110,TXN00000526,P001,S001,2024-06-09,0.13,Clearance
PRM0000111,TXN00000528,P001,S001,2024-06-11,0.15,Flash Sale
PRM0000112,TXN00000545,P001,S001,2024-06-28,0.35,Flash Sale
PRM0000113,TXN00000561,P001,S001,2024-07-14,0.2,Seasonal
PRM0000114,TXN00000566,P001,S001,2024-07-19,0.06,Festival
PRM0000115,TXN00000567,P001,S001,2024-07-20,0.31,Festival
PRM0000116,TXN00000568,P001,S001,2024-07-21,0.32,Festival
PRM0000117,TXN00000571,P001,S001,2024-07-24,0.3,Flash Sale
PRM0000118,TXN00000572,P001,S001,2024-07-25,0.26,Seasonal
PRM0000119,TXN00000576,P001,S001,2024-07-29,0.35,Seasonal
PRM0000120,TXN00000577,P001,S001,2024-07-30,0.08,Flash Sale
PRM0000121,TXN00000585,P001,S001,2024-08-07,0.2,Flash Sale
PRM0000122,TXN00000600,P001,S001,2024-08-22,0.11,Festival
PRM0000123,TXN00000602,P001,S001,2024-08-24,0.18,Festival
PRM0000124,TXN00000614,P001,S001,2024-09-05,0.29,Flash Sale
PRM0000125,TXN00000615,P001,S001,2024-09-06,0.15,Seasonal
PRM0000126,TXN00000619,P001,S001,2024-09-10,0.3,Clearance
PRM0000127,TXN00000621,P001,S001,2024-09-12,0.2,Flash Sale
PRM0000128,TXN00000625,P001,S001,2024-09-16,0.1,Clearance
PRM0000129,TXN00000626,P001,S001,2024-09-17,0.24,Clearance
PRM0000130,TXN00000630,P001,S001,2024-09-21,0.19,Seasonal
PRM0000131,TXN00000644,P001,S001,2024-10-05,0.19,Festival
PRM0000132,TXN00000650,P001,S001,2024-10-11,0.14,Flash Sale
PRM0000133,TXN00000654,P001,S001,2024-10-15,0.21,Flash Sale
PRM0000134,TXN00000659,P001,S001,2024-10-20,0.26,Festival
PRM0000135,TXN00000660,P001,S001,2024-10-21,0.33,Clearance
PRM0000136,TXN00000663,P001,S001,2024-10-24,0.31,Flash Sale
PRM0000137,TXN00000669,P001,S001,2024-10-30,0.35,Flash Sale
PRM0000138,TXN00000671,P001,S001,2024-11-01,0.39,Festival
PRM0000139,TXN00000680,P001,S001,2024-11-10,0.19,Festival
PRM0000140,TXN00000683,P001,S001,2024-11-13,0.35,Seasonal
PRM0000141,TXN00000685,P001,S001,2024-11-15,0.19,Seasonal
PRM0000142,TXN00000689,P001,S001,2024-11-19,0.13,Flash Sale
PRM0000143,TXN00000694,P001,S001,2024-11-24,0.32,Flash Sale
PRM0000144,TXN00000695,P001,S001,2024-11-25,0.36,Clearance
PRM0000145,TXN00000698,P001,S001,2024-11-28,0.14,Clearance
PRM0000146,TXN00000703,P001,S001,2024-12-03,0.06,Flash Sale
PRM0000147,TXN00000704,P001,S001,2024-12-04,0.11,Clearance
PRM0000148,TXN00000705,P001,S001,2024-12-05,0.15,Clearance
PRM0000149,TXN00000706,P001,S001,2024-12-06,0.32,Festival
PRM0000150,TXN00000707,P001,S001,2024-12-07,0.22,Seasonal
PRM0000151,TXN00000713,P001,S001,2024-12-13,0.28,Clearance
PRM0000152,TXN00000719,P001,S001,2024-12-19,0.31,Clearance
PRM0000153,TXN00000728,P001,S001,2024-12-28,0.36,Clearance
PRM0000154,TXN00000738,P001,S002,2023-01-07,0.27,Flash Sale
PRM0000155,TXN00000741,P001,S002,2023-01-10,0.05,Festival
PRM0000156,TXN00000747,P001,S002,2023-01-16,0.4,Clearance
PRM0000157,TXN00000748,P001,S002,2023-01-17,0.38,Seasonal
PRM0000158,TXN00000759,P001,S002,2023-01-28,0.33,Festival
PRM0000159,TXN00000768,P001,S002,2023-02-06,0.23,Clearance
PRM0000160,TXN00000776,P001,S002,2023-02-14,0.27,Festival
PRM0000161,TXN00000788,P001,S002,2023-02-26,0.18,Festival
PRM0000162,TXN00000790,P001,S002,2023-02-28,0.18,Festival
PRM0000163,TXN00000808,P001,S002,2023-03-18,0.33,Seasonal
PRM0000164,TXN00000814,P001,S002,2023-03-24,0.06,Clearance
PRM0000165,TXN00000831,P001,S002,2023-04-10,0.26,Festival
PRM0000166,TXN00000835,P001,S002,2023-04-14,0.11,Flash Sale
PRM0000167,TXN00000841,P001,S002,2023-04-20,0.29,Flash Sale
PRM0000168,TXN00000842,P001,S002,2023-04-21,0.33,Seasonal
PRM0000169,TXN00000845,P001,S002,2023-04-24,0.12,Flash Sale
PRM0000170,TXN00000847,P001,S002,2023-04-26,0.37,Clearance
PRM0000171,TXN00000861,P001,S002,2023-05-10,0.22,Clearance
PRM0000172,TXN00000865,P001,S002,2023-05-14,0.37,Clearance
PRM0000173,TXN00000875,P001,S002,2023-05-24,0.11,Clearance
PRM0000174,TXN00000879,P001,S002,2023-05-28,0.14,Seasonal
PRM0000175,TXN00000897,P001,S002,2023-06-15,0.36,Seasonal
PRM0000176,TXN00000906,P001,S002,2023-06-24,0.07,Clearance
PRM0000177,TXN00000910,P001,S002,2023-06-28,0.36,Clearance
PRM0000178,TXN00000915,P001,S002,2023-07-03,0.26,Festival
PRM0000179,TXN00000920,P001,S002,2023-07-08,0.29,Seasonal
PRM0000180,TXN00000935,P001,S002,2023-07-23,0.08,Seasonal
PRM0000181,TXN00000944,P001,S002,2023-08-01,0.21,Flash Sale
PRM0000182,TXN00000951,P001,S002,2023-08-08,0.21,Seasonal
PRM0000183,TXN00000953,P001,S002,2023-08-10,0.25,Seasonal
PRM0000184,TXN00000954,P001,S002,2023-08-11,0.26,Clearance
PRM0000185,TXN00000959,P001,S002,2023-08-16,0.36,Flash Sale
PRM0000186,TXN00000967,P001,S002,2023-08-24,0.05,Clearance
PRM0000187,TXN00000971,P001,S002,2023-08-28,0.17,Seasonal
PRM0000188,TXN00000974,P001,S002,2023-08-31,0.11,Clearance
PRM0000189,TXN00000984,P001,S002,2023-09-10,0.38,Flash Sale
PRM0000190,TXN00000988,P001,S002,2023-09-14,0.35,Festival
PRM0000191,TXN00001004,P001,S002,2023-09-30,0.12,Seasonal
PRM0000192,TXN00001006,P001,S002,2023-10-02,0.27,Clearance
PRM0000193,TXN00001009,P001,S002,2023-10-05,0.3,Festival
PRM0000194,TXN00001011,P001,S002,2023-10-07,0.07,Festival
PRM0000195,TXN00001021,P001,S002,2023-10-17,0.3,Festival
PRM0000196,TXN00001025,P001,S002,2023-10-21,0.11,Flash Sale
PRM0000197,TXN00001032,P001,S002,2023-10-28,0.11,Clearance
PRM0000198,TXN00001034,P001,S002,2023-10-30,0.29,Festival
PRM0000199,TXN00001040,P001,S002,2023-11-05,0.34,Clearance
PRM0000200,TXN00001041,P001,S002,2023-11-06,0.08,Clearance
PRM0000201,TXN00001042,P001,S002,2023-11-07,0.26,Seasonal
PRM0000202,TXN00001046,P001,S002,2023-11-11,0.32,Festival
PRM0000203,TXN00001047,P001,S002,2023-11-12,0.07,Flash Sale
PRM0000204,TXN00001051,P001,S002,2023-11-16,0.07,Seasonal
PRM0000205,TXN00001056,P001,S002,2023-11-21,0.22,Festival
PRM0000206,TXN00001066,P001,S002,2023-12-01,0.37,Festival
PRM0000207,TXN00001067,P001,S002,2023-12-02,0.36,Flash Sale
PRM0000208,TXN00001071,P001,S002,2023-12-06,0.16,Flash Sale
PRM0000209,TXN00001081,P001,S002,2023-12-16,0.26,Clearance
PRM0000210,TXN00001082,P001,S002,2023-12-17,0.07,Clearance
PRM0000211,TXN00001084,P001,S002,2023-12-19,0.2,Festival
PRM0000212,TXN00001086,P001,S002,2023-12-21,0.11,Festival
PRM0000213,TXN00001089,P001,S002,2023-12-24,0.25,Festival
PRM0000214,TXN00001092,P001,S002,2023-12-27,0.07,Flash Sale
PRM0000215,TXN00001094,P001,S002,2023-12-29,0.2,Clearance
PRM0000216,TXN00001096,P001,S002,2023-12-31,0.12,Flash Sale
PRM0000217,TXN00001099,P001,S002,2024-01-03,0.25,Seasonal
PRM0000218,TXN00001104,P001,S002,2024-01-08,0.09,Seasonal
PRM0000219,TXN00001108,P001,S002,2024-01-12,0.4,Flash Sale
PRM0000220,TXN00001109,P001,S002,2024-01-13,0.11,Flash Sale
PRM0000221,TXN00001115,P001,S002,2024-01-19,0.34,Seasonal
PRM0000222,TXN00001122,P001,S002,2024-01-26,0.06,Clearance
PRM0000223,TXN00001137,P001,S002,2024-02-10,0.34,Seasonal
PRM0000224,TXN00001140,P001,S002,2024-02-13,0.34,Seasonal
PRM0000225,TXN00001144,P001,S002,2024-02-17,0.11,Seasonal
PRM0000226,TXN00001162,P001,S002,2024-03-06,0.37,Seasonal
PRM0000227,TXN00001164,P001,S002,2024-03-08,0.16,Clearance
PRM0000228,TXN00001170,P001,S002,2024-03-14,0.38,Festival
PRM0000229,TXN00001173,P001,S002,2024-03-17,0.33,Clearance
PRM0000230,TXN00001174,P001,S002,2024-03-18,0.14,Festival
PRM0000231,TXN00001176,P001,S002,2024-03-20,0.31,Festival
PRM0000232,TXN00001178,P001,S002,2024-03-22,0.14,Seasonal
PRM0000233,TXN00001179,P001,S002,2024-03-23,0.25,Seasonal
PRM0000234,TXN00001185,P001,S002,2024-03-29,0.29,Seasonal
PRM0000235,TXN00001189,P001,S002,2024-04-02,0.39,Seasonal
PRM0000236,TXN00001190,P001,S002,2024-04-03,0.09,Flash Sale
PRM0000237,TXN00001192,P001,S002,2024-04-05,0.34,Festival
PRM0000238,TXN00001196,P001,S002,2024-04-09,0.22,Festival
PRM0000239,TXN00001197,P001,S002,2024-04-10,0.26,Flash Sale
PRM0000240,TXN00001199,P001,S002,2024-04-12,0.1,Seasonal
PRM0000241,TXN00001203,P001,S002,2024-04-16,0.25,Clearance
PRM0000242,TXN00001204,P001,S002,2024-04-17,0.37,Festival
PRM0000243,TXN00001205,P001,S002,2024-04-18,0.24,Festival
PRM0000244,TXN00001208,P001,S002,2024-04-21,0.29,Clearance
PRM0000245,TXN00001209,P001,S002,2024-04-22,0.18,Clearance
PRM0000246,TXN00001210,P001,S002,2024-04-23,0.17,Clearance
PRM0000247,TXN00001215,P001,S002,2024-04-28,0.15,Clearance
PRM0000248,TXN00001219,P001,S002,2024-05-02,0.33,Seasonal
PRM0000249,TXN00001221,P001,S002,2024-05-04,0.29,Clearance
PRM0000250,TXN00001223,P001,S002,2024-05-06,0.27,Clearance
PRM0000251,TXN00001227,P001,S002,2024-05-10,0.22,Flash Sale
PRM0000252,TXN00001231,P001,S002,2024-05-14,0.23,Festival
PRM0000253,TXN00001234,P001,S002,2024-05-17,0.25,Flash Sale
PRM0000254,TXN00001241,P001,S002,2024-05-24,0.33,Clearance
PRM0000255,TXN00001243,P001,S002,2024-05-26,0.08,Seasonal
PRM0000256,TXN00001244,P001,S002,2024-05-27,0.18,Seasonal
PRM0000257,TXN00001246,P001,S002,2024-05-29,0.1,Flash Sale
PRM0000258,TXN00001248,P001,S002,2024-05-31,0.31,Clearance
PRM0000259,TXN00001250,P001,S002,2024-06-02,0.35,Seasonal
PRM0000260,TXN00001253,P001,S002,2024-06-05,0.19,Flash Sale
PRM0000261,TXN00001255,P001,S002,2024-06-07,0.29,Festival
PRM0000262,TXN00001258,P001,S002,2024-06-10,0.23,Seasonal
PRM0000263,TXN00001268,P001,S002,2024-06-20,0.16,Festival
PRM0000264,TXN00001269,P001,S002,2024-06-21,0.21,Flash Sale
PRM0000265,TXN00001273,P001,S002,2024-06-25,0.07,Seasonal
PRM0000266,TXN00001274,P001,S002,2024-06-26,0.34,Clearance
PRM0000267,TXN00001275,P001,S002,2024-06-27,0.3,Clearance
PRM0000268,TXN00001283,P001,S002,2024-07-05,0.39,Flash Sale
PRM0000269,TXN00001294,P001,S002,2024-07-16,0.12,Clearance
PRM0000270,TXN00001295,P001,S002,2024-07-17,0.24,Clearance
PRM0000271,TXN00001296,P001,S002,2024-07-18,0.07,Clearance
PRM0000272,TXN00001298,P001,S002,2024-07-20,0.31,Festival
PRM0000273,TXN00001299,P001,S002,2024-07-21,0.06,Clearance
PRM0000274,TXN00001302,P001,S002,2024-07-24,0.24,Flash Sale
PRM0000275,TXN00001307,P001,S002,2024-07-29,0.16,Flash Sale
PRM0000276,TXN00001314,P001,S002,2024-08-05,0.32,Clearance
PRM0000277,TXN00001320,P001,S002,2024-08-11,0.16,Festival
PRM0000278,TXN00001337,P001,S002,2024-08-28,0.21,Clearance
PRM0000279,TXN00001339,P001,S002,2024-08-30,0.29,Flash Sale
PRM0000280,TXN00001340,P001,S002,2024-08-31,0.12,Festival
PRM0000281,TXN00001343,P001,S002,2024-09-03,0.39,Flash Sale
PRM0000282,TXN00001347,P001,S002,2024-09-07,0.05,Seasonal
PRM0000283,TXN00001348,P001,S002,2024-09-08,0.14,Clearance
PRM0000284,TXN00001360,P001,S002,2024-09-20,0.24,Festival
PRM0000285,TXN00001364,P001,S002,2024-09-24,0.39,Flash Sale
PRM0000286,TXN00001370,P001,S002,2024-09-30,0.24,Seasonal
PRM0000287,TXN00001372,P001,S002,2024-10-02,0.2,Flash Sale
PRM0000288,TXN00001377,P001,S002,2024-10-07,0.24,Flash Sale
PRM0000289,TXN00001385,P001,S002,2024-10-15,0.2,Clearance
PRM0000290,TXN00001386,P001,S002,2024-10-16,0.07,Flash Sale
PRM0000291,TXN00001393,P001,S002,2024-10-23,0.09,Festival
PRM0000292,TXN00001398,P001,S002,2024-10-28,0.19,Flash Sale
PRM0000293,TXN00001400,P001,S002,2024-10-30,0.18,Seasonal
PRM0000294,TXN00001405,P001,S002,2024-11-04,0.2,Flash Sale
PRM0000295,TXN00001418,P001,S002,2024-11-17,0.39,Flash Sale
PRM0000296,TXN00001420,P001,S002,2024-11-19,0.18,Clearance
PRM0000297,TXN00001421,P001,S002,2024-11-20,0.24,Clearance
PRM0000298,TXN00001426,P001,S002,2024-11-25,0.13,Clearance
PRM0000299,TXN00001435,P001,S002,2024-12-04,0.17,Festival
PRM0000300,TXN00001446,P001,S002,2024-12-15,0.07,Seasonal
PRM0000301,TXN00001449,P001,S002,2024-12-18,0.15,Seasonal
PRM0000302,TXN00001450,P001,S002,2024-12-19,0.18,Flash Sale
PRM0000303,TXN00001454,P001,S002,2024-12-23,0.06,Clearance
PRM0000304,TXN00001455,P001,S002,2024-12-24,0.2,Festival
PRM0000305,TXN00001456,P001,S002,2024-12-25,0.32,Clearance
PRM0000306,TXN00001459,P001,S002,2024-12-28,0.38,Clearance
PRM0000307,TXN00001460,P001,S002,2024-12-29,0.25,Clearance
PRM0000308,TXN00001464,P001,S003,2023-01-02,0.35,Seasonal
PRM0000309,TXN00001466,P001,S003,2023-01-04,0.33,Flash Sale
PRM0000310,TXN00001468,P001,S003,2023-01-06,0.24,Flash Sale
PRM0000311,TXN00001470,P001,S003,2023-01-08,0.39,Seasonal
PRM0000312,TXN00001475,P001,S003,2023-01-13,0.31,Flash Sale
PRM0000313,TXN00001484,P001,S003,2023-01-22,0.07,Clearance
PRM0000314,TXN00001488,P001,S003,2023-01-26,0.22,Flash Sale
PRM0000315,TXN00001490,P001,S003,2023-01-28,0.38,Seasonal
PRM0000316,TXN00001492,P001,S003,2023-01-30,0.3,Flash Sale
PRM0000317,TXN00001508,P001,S003,2023-02-15,0.13,Festival
PRM0000318,TXN00001516,P001,S003,2023-02-23,0.35,Seasonal
PRM0000319,TXN00001518,P001,S003,2023-02-25,0.09,Seasonal
PRM0000320,TXN00001526,P001,S003,2023-03-05,0.2,Seasonal
PRM0000321,TXN00001529,P001,S003,2023-03-08,0.34,Flash Sale
PRM0000322,TXN00001532,P001,S003,2023-03-11,0.26,Clearance
PRM0000323,TXN00001535,P001,S003,2023-03-14,0.39,Clearance
PRM0000324,TXN00001538,P001,S003,2023-03-17,0.05,Flash Sale
PRM0000325,TXN00001543,P001,S003,2023-03-22,0.09,Seasonal
PRM0000326,TXN00001558,P001,S003,2023-04-06,0.2,Clearance
PRM0000327,TXN00001563,P001,S003,2023-04-11,0.28,Flash Sale
PRM0000328,TXN00001569,P001,S003,2023-04-17,0.23,Seasonal
PRM0000329,TXN00001570,P001,S003,2023-04-18,0.09,Clearance
PRM0000330,TXN00001571,P001,S003,2023-04-19,0.2,Seasonal
PRM0000331,TXN00001572,P001,S003,2023-04-20,0.37,Festival
PRM0000332,TXN00001573,P001,S003,2023-04-21,0.18,Flash Sale
PRM0000333,TXN00001582,P001,S003,2023-04-30,0.14,Clearance
PRM0000334,TXN00001583,P001,S003,2023-05-01,0.17,Seasonal
PRM0000335,TXN00001587,P001,S003,2023-05-05,0.37,Festival
PRM0000336,TXN00001588,P001,S003,2023-05-06,0.19,Seasonal
PRM0000337,TXN00001591,P001,S003,2023-05-09,0.15,Clearance
PRM0000338,TXN00001595,P001,S003,2023-05-13,0.06,Flash Sale
PRM0000339,TXN00001598,P001,S003,2023-05-16,0.18,Flash Sale
PRM0000340,TXN00001599,P001,S003,2023-05-17,0.25,Seasonal
PRM0000341,TXN00001602,P001,S003,2023-05-20,0.08,Festival
PRM0000342,TXN00001612,P001,S003,2023-05-30,0.25,Flash Sale
PRM0000343,TXN00001622,P001,S003,2023-06-09,0.27,Clearance
PRM0000344,TXN00001625,P001,S003,2023-06-12,0.18,Festival
PRM0000345,TXN00001634,P001,S003,2023-06-21,0.29,Festival
PRM0000346,TXN00001636,P001,S003,2023-06-23,0.27,Festival
PRM0000347,TXN00001645,P001,S003,2023-07-02,0.24,Festival
PRM0000348,TXN00001646,P001,S003,2023-07-03,0.32,Clearance
PRM0000349,TXN00001647,P001,S003,2023-07-04,0.28,Clearance
PRM0000350,TXN00001648,P001,S003,2023-07-05,0.28,Festival
PRM0000351,TXN00001667,P001,S003,2023-07-24,0.13,Clearance
PRM0000352,TXN00001673,P001,S003,2023-07-30,0.28,Flash Sale
PRM0000353,TXN00001678,P001,S003,2023-08-04,0.12,Festival
PRM0000354,TXN00001699,P001,S003,2023-08-25,0.19,Seasonal
PRM0000355,TXN00001705,P001,S003,2023-08-31,0.38,Seasonal
PRM0000356,TXN00001711,P001,S003,2023-09-06,0.38,Festival
PRM0000357,TXN00001713,P001,S003,2023-09-08,0.18,Flash Sale
PRM0000358,TXN00001717,P001,S003,2023-09-12,0.05,Flash Sale
PRM0000359,TXN00001721,P001,S003,2023-09-16,0.35,Flash Sale
PRM0000360,TXN00001728,P001,S003,2023-09-23,0.09,Festival
PRM0000361,TXN00001739,P001,S003,2023-10-04,0.27,Festival
PRM0000362,TXN00001749,P001,S003,2023-10-14,0.05,Festival
PRM0000363,TXN00001758,P001,S003,2023-10-23,0.14,Festival
PRM0000364,TXN00001761,P001,S003,2023-10-26,0.21,Seasonal
PRM0000365,TXN00001771,P001,S003,2023-11-05,0.38,Festival
PRM0000366,TXN00001777,P001,S003,2023-11-11,0.4,Seasonal
PRM0000367,TXN00001781,P001,S003,2023-11-15,0.17,Festival
PRM0000368,TXN00001798,P001,S003,2023-12-02,0.35,Flash Sale
PRM0000369,TXN00001800,P001,S003,2023-12-04,0.07,Seasonal
PRM0000370,TXN00001812,P001,S003,2023-12-16,0.34,Festival
PRM0000371,TXN00001814,P001,S003,2023-12-18,0.36,Seasonal
PRM0000372,TXN00001836,P001,S003,2024-01-09,0.22,Seasonal
PRM0000373,TXN00001839,P001,S003,2024-01-12,0.13,Festival
PRM0000374,TXN00001845,P001,S003,2024-01-18,0.34,Festival
PRM0000375,TXN00001856,P001,S003,2024-01-29,0.13,Seasonal
PRM0000376,TXN00001857,P001,S003,2024-01-30,0.05,Seasonal
PRM0000377,TXN00001859,P001,S003,2024-02-01,0.34,Festival
PRM0000378,TXN00001860,P001,S003,2024-02-02,0.24,Flash Sale
PRM0000379,TXN00001867,P001,S003,2024-02-09,0.21,Seasonal
PRM0000380,TXN00001868,P001,S003,2024-02-10,0.26,Clearance
PRM0000381,TXN00001871,P001,S003,2024-02-13,0.2,Festival
PRM0000382,TXN00001877,P001,S003,2024-02-19,0.29,Clearance
